"id","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2021"
290,0.25,0.44,0.2,0.17,0.44,0.5,0.2
291,0.85,0.74,0.87,0.88,0.86,0.92,0.95
292,0.35,0.35,0.36,0.54,0.29,0.32,0.45
293,0.27,0.29,0.35,0.32,0.27,0.28,0.36
294,0.57,0.38,0.26,0.29,0.49,0.59,
295,0.5,0.39,0.45,0.36,0.34,0.31,0.48
296,0.38,0.33,0.5,0.61,0.64,0.78,0.77
297,0.12,0.12,0.14,0.1,,,0.06
298,0.36,0.34,0.39,0.25,0.45,0.49,0.52
299,0.74,0.74,0.79,0.9,0.76,0.86,1.03
300,0.19,0.17,0.13,0.14,0.14,0.14,0.15
301,0.84,0.74,0.68,0.8,0.77,0.69,0.64
302,0.73,0.64,0.77,0.81,0.67,0.59,0.86
303,0.27,0.25,0.33,0.35,0.49,0.44,0.39
304,0.26,0.33,0.31,0.35,0.54,0.5,0.44
305,0.28,0.27,0.3,0.22,0.21,0.32,0.34
306,,,0.35,0.39,0.44,0.44,0.73
307,1.01,1.28,1.35,1.28,1.15,1.26,1.06
308,0.54,0.57,0.54,0.64,0.59,0.58,0.74
309,0.67,0.64,0.67,0.78,0.65,0.65,0.75
310,1.31,1.19,1.33,1.35,1.11,0.99,1
311,0.25,0.29,0.27,0.25,0.28,0.29,0.27
312,0.68,0.6,0.67,0.71,0.61,0.62,0.85
313,0.84,0.84,0.81,0.86,0.63,0.63,0.65
314,0.85,0.86,1.13,0.99,0.88,0.93,1.03
315,,,,,,,
316,1.52,1.59,1.41,1.34,1.01,0.99,1.14
317,0.31,0.35,0.37,0.29,,,
318,0.18,0.19,0.22,0.2,0.18,0.14,0.14
319,1,1.11,1.15,1.14,1.17,1.33,0.93
320,0.19,0.24,0.24,0.27,0.71,0.87,0.35
321,0.35,0.35,0.36,0.32,0.17,0.28,0.49
322,0.35,0.28,0.3,0.36,0.41,0.27,0.39
323,1.11,1.04,0.92,1.12,0.91,0.93,0.98
324,0.33,0.26,0.17,0.25,0.17,0.17,0.23
325,0.83,0.73,0.86,0.8,0.91,0.92,0.81
326,0.44,0.32,0.35,0.27,0.16,0.15,
327,0.7,0.7,0.75,0.85,0.63,0.5,0.69
328,0.16,0.26,0.31,0.32,0.25,0.15,0.3
329,0.67,0.75,0.62,0.56,0.87,0.97,0.72
330,0.78,0.83,0.91,0.99,0.8,0.8,0.85
331,0.31,0.32,0.24,0.51,0.25,0.34,0.38
332,0.63,0.61,0.61,0.59,0.58,0.55,0.63
333,1.15,1.1,1.15,1.3,1.06,0.98,1.31
334,0.05,,0.05,,,,0.06
335,1.25,1.24,1.26,1.07,1.04,1.21,1.23
336,0.78,0.94,1.01,1.08,0.98,1.12,0.98
337,0.31,0.31,0.43,0.39,0.4,0.38,0.27
338,0.16,0.27,,,,0.16,
339,,,,,,,
343,0.19,0.16,0.18,0.12,0.2,0.31,0.23
344,0.17,0.23,0.26,0.26,0.26,0.21,0.13
345,0.28,0.28,0.25,0.34,0.76,0.87,0.29
346,0.91,1.03,0.97,0.87,0.87,0.81,0.8
