id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
459,,6.0,8.0,4.0,1.0,,,,,
460,,16.0,17.0,4.0,11.0,,,,,
462,4.0,2.0,1.0,1.0,1.0,4.0,,,,
463,4.0,3.0,12.0,4.0,2.0,4.0,,,,
464,1.0,1.0,6.0,3.0,2.0,3.0,,,,
465,,2.0,1.0,0.0,1.0,,,,,
466,3.0,2.0,3.0,1.0,3.0,5.0,,,,
467,3.0,0.0,2.0,4.0,1.0,3.0,,,,
468,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
469,,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,
470,1.0,3.0,0.0,9.0,,9.0,,,,
471,2.0,4.0,4.0,9.0,,16.0,,,,
472,0.0,0.0,0.0,1.0,,4.0,,,,
473,,5.0,8.0,6.0,2.0,3.0,4.0,0.0,6.0,
474,4.0,3.0,2.0,13.0,,8.0,,,,
475,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,
476,157.0,186.0,191.0,202.0,215.0,165.0,171.0,198.0,190.0,226.0
