id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
262,0,0,1,0,0,0,0,0,13,0,0
263,1,18,11,11,4,5,3,24,1,2,0
264,11,16,19,15,18,1,1,0,0,0,0
265,0,0,1,1,2,0,0,0,1,0,0
266,0,0,0,2,38,520,4,3,20,1,2
267,48,63,22,14,36,39,95,49,15,0,0
268,0,0,0,0,0,0,0,0,2,4,2
269,0,0,7,4,4,9,10,10,1,0,0
270,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,1,0,0,2,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0
273,2,2,34,0,2,23,55,60,6,0,0
274,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,1
276,0,0,0,0,0,1,1,0,0,1,0
277,23,38,49,76,64,19,54,92,69,79,96
278,16,0,1,0,0,0,0,7,92,12,0
279,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,2,0,1,1,1,12,14,2
281,0,0,0,0,0,0,0,0,52,34,0
282,8,8,2,5,20,13,4,0,0,6,7
283,1,0,0,0,4,1,1,2,4,14,7
284,0,0,0,5,377,24,388,69,53,59,108
285,0,0,0,0,0,1,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0
287,0,0,12,5,0,1,0,0,0,1,0
288,1,0,1,19,0,3,2,1,248,0,0
289,12,1,2,10,16,18,70,113,555,92,228
290,0,0,0,0,0,0,0,38,20,466,527
291,0,0,0,0,0,0,0,0,0,0,0
292,1,1,0,0,0,0,0,1,2,6,3
293,0,0,0,0,0,0,0,5,0,5,14
294,0,0,0,48,0,0,0,0,6,4,3
295,1,0,0,0,0,1,0,0,1,2,1
296,6,9,51,43,88,30,83,45,26,20,2
297,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0
299,10,4,15,14,55,101,55,4,0,0,1
300,0,0,0,0,0,0,0,0,0,0,0
301,9,13,23,23,34,5,0,0,0,1,0
302,0,0,0,0,0,0,0,1,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0
305,5,0,0,0,2,0,1,8,78,33,4
306,2,111,48,1,73,2,0,0,2,3,4
307,0,0,284,0,0,0,0,0,40,53,34
308,26,34,27,0,0,0,0,0,0,0,0
309,9,7,22,4,1,1,0,18,21,1,1
310,0,2,2,3,0,1,1,0,0,1,2
311,0,0,0,0,0,0,0,2,4,7,11
312,0,0,0,0,1,0,0,1,0,3,1
313,0,0,0,0,0,0,0,0,0,0,6
314,0,0,0,0,0,4,5,0,0,0,1
315,0,54,0,126,389,1,13,87,313,14,2
316,0,0,0,0,0,0,0,0,0,0,0
317,0,0,1,0,3,2,1,4,2,2,1
318,0,1,0,1,78,0,3,0,103,1,3
319,0,0,0,0,0,0,273,1,0,46,0
320,3,2,6,5,7,9,15,6,2,8,5
321,0,2,7,0,0,0,2,4,0,8,16
322,0,0,0,0,0,0,1,1,0,0,0
323,0,0,1,0,0,3,0,0,3,1,0
324,0,3,0,0,1,0,1,5,5,51,61
325,0,0,9,1,0,0,0,8,4,0,4
326,0,0,0,1,0,0,0,0,2,1,1
327,0,0,0,0,0,0,0,0,0,1,121
328,0,0,0,0,0,0,1,1,2,0,2
329,0,0,0,0,5,3,0,0,0,0,5
330,0,0,0,19,14,0,0,0,0,1,5
331,0,0,0,0,266,37,0,0,225,318,0
332,12,20,43,36,2,1,1,0,0,0,0
333,3,2,11,23,6,45,15,0,0,2,18
334,0,0,0,0,0,0,0,0,0,0,0
335,1,14,62,20,2,0,28,108,0,161,236
336,40,51,57,51,8,0,0,366,1,43,271
337,0,0,0,13,25,2,4,2,3,6,3
338,0,249,0,0,0,0,0,159,177,95,1
339,0,423,3,234,13,6,20,21,91,30,6
343,20,5,7,245,8,7,10,13,60,45,141
344,30,22,46,10,47,0,1,3,5,2,7
345,0,0,0,1,1,0,0,3,1,98,6
346,0,0,1,1,0,0,0,1,0,2,0
347,0,81,0,0,4,6,8,7,75,27,27
348,0,0,0,1,13,2,2,5,9,31,53
349,0,0,1,0,4,3,8,328,4,7,4
350,0,0,0,1,0,0,0,0,0,0,0
351,3,13,24,8,5,4,2,10,3,1,8
352,0,1,0,0,0,0,0,0,0,0,0
353,8,16,7,4,3,0,16,20,17,18,13
354,0,0,0,0,0,0,0,1,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0
356,1,3,5,11,4,24,25,34,34,26,3
357,106,0,47,1,12,5,1,4,24,6,9
358,1,2,324,635,125,4,3,3,4,9,3
359,2,4,1,4,1,2,16,6,0,0,7
360,3,25,31,14,8,35,39,91,73,576,191
361,0,0,0,213,60,95,520,298,202,38,55
362,0,0,0,0,0,1,0,1,0,0,288
363,0,0,0,0,4,3,4,7,6,11,20
364,3,2,3,8,5,11,10,12,8,8,9
365,0,0,0,0,0,0,0,0,1,1,1
366,0,0,0,0,0,0,1,0,0,0,0
367,34,2,369,4,260,39,17,22,8,6,40
368,0,0,1,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,64,259
370,47,0,9,5,1,11,10,78,11,7,3
371,3,0,0,0,1,1,0,3,203,234,197
372,14,6,7,23,22,1,0,0,211,6,78
373,2,0,1,6,14,13,10,9,12,15,13
374,2,0,10,0,1,2,4,4,7,4,6
375,5,3,2,5,3,29,15,4,2,0,8
376,8,14,10,66,0,0,1,1,0,9,3
377,28,19,20,24,47,0,4,4,4,0,2
378,4,3,41,47,56,262,348,37,42,35,35
379,2,2,5,16,27,6,4,2,1,0,1
380,11,7,6,0,7,4,3,5,4,5,8
381,3,354,6,7,10,116,29,701,46,124,29
382,3,2,7,10,12,17,24,37,47,27,22
383,0,0,0,0,0,0,0,0,11,31,1
385,3,8,2,2,0,4,7,6,3,8,17
386,3,4,8,5,20,22,30,286,32,74,67
387,4,0,0,0,4,0,5,2,2,0,362
388,1,170,154,326,19,35,12,8,18,63,23
389,0,3,1,1,0,0,1,1,1,5,22
390,0,0,0,4,4,15,8,22,18,1,6
391,0,0,0,0,0,0,0,2,0,0,0
392,6,1,25,31,35,138,33,38,29,29,51
393,0,0,0,0,272,266,0,369,12,291,5
394,1,16,0,9,4,5,10,22,11,28,6
395,4,9,1,0,256,1,0,0,225,126,2
396,1,5,16,18,35,41,26,26,21,25,19
397,0,0,0,211,1,0,0,0,0,0,65
398,6,16,21,16,10,3,3,0,0,0,0
399,0,0,14,12,29,10,2,0,0,0,0
400,2,1,0,0,3,2,0,0,1,1,0
401,0,0,1,0,0,1,1,0,0,1,194
402,0,0,0,1,1,1,7,7,0,0,108
403,4,23,43,21,19,27,16,11,81,66,11
404,0,0,0,3,0,1,0,3,5,2,11
405,3,4,1,2,18,0,1,0,2,1,0
406,3,28,23,22,65,24,3,2,1,0,2
407,4,1,8,8,15,8,3,5,5,8,84
408,12,21,5,3,5,6,22,16,19,7,9
409,4,11,8,16,15,9,12,7,14,4,10
410,0,0,0,1,0,2,1,2,1,0,9
411,10,5,3,0,2,5,4,5,0,0,0
412,4,3,1,1,6,6,5,4,4,5,14
413,14,5,5,0,1,1,0,1,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0
417,0,1,0,1,0,11,47,29,5,11,41
418,0,0,0,0,0,0,0,1,1,0,0
419,0,0,0,0,1,6,17,21,22,1,0
420,20,8,13,12,3,3,3,12,5,3,0
421,18,22,49,50,39,32,38,6,3,0,0
422,0,1,226,2,280,7,111,58,28,3,2
423,0,2,5,38,65,65,69,56,49,84,102
424,1,1,1,6,6,4,3,1,1,1,7
425,0,4,1,10,11,4,4,2,10,4,8
426,0,0,0,0,0,0,1,0,1,0,0
428,4,3,22,20,17,12,19,8,1,3,5
430,19,43,53,73,33,86,51,115,26,1,0
431,2,0,6,5,12,13,1,0,3,7,49
432,3,3,10,14,7,2,0,1,0,0,0
433,0,0,0,1,1,0,0,0,0,0,1
434,30,70,61,57,45,33,71,44,37,65,80
435,1,3,11,7,3,2,0,0,0,0,2
436,0,0,0,0,1,0,0,0,0,0,0
437,38,85,109,112,83,344,147,434,120,256,435
438,71,189,134,184,99,147,260,9,15,7,40
442,1,6,5,7,12,28,0,3,0,0,0
443,0,0,0,0,0,2,0,0,0,8,71
444,0,0,0,0,3,6,2,0,0,0,0
445,0,0,0,0,0,0,0,0,0,1,0
446,0,0,9,33,10,6,2,0,0,1,36
447,24,12,13,31,57,76,161,121,49,60,14
448,36,220,34,74,12,12,5,1,0,0,0
449,3,1,5,18,7,7,49,34,5,5,8
450,15,21,46,41,16,15,14,9,14,12,33
451,27,41,78,64,51,27,17,69,11,85,34
452,29,60,1,2,2,1,1,6,58,181,189
453,0,0,0,0,0,0,0,1,39,39,38
454,0,1,0,0,0,0,5,2,0,3,3
455,0,0,0,0,3,3,1,1,1,0,10
456,0,0,2,0,0,145,18,14,17,32,8
457,0,0,0,0,2,0,0,0,0,1,0
458,0,0,0,0,0,0,0,0,1,0,3
459,0,1,0,0,1,0,0,0,3,3,41
460,18,6,9,3,1,2,11,40,89,290,0
462,21,23,29,50,65,46,69,27,57,124,207
463,9,0,0,0,0,0,0,1,0,1,2
464,34,28,4,0,523,0,1,119,3,2,3
465,0,0,0,0,0,0,0,1,0,1,0
466,1,3,13,10,11,6,5,7,16,26,55
467,21,12,1,0,0,0,0,0,6,291,0
468,0,0,0,0,0,1,1,0,0,2,0
469,1,1,3,1,2,1,3,1,3,4,11
470,4,2,3,3,7,13,7,1,5,0,2
471,2,1,0,3,10,167,3,1,2,0,13
472,1,2,5,9,10,14,8,6,9,4,6
473,84,2,9,5,14,22,11,10,5,4,18
474,3,1,4,3,7,1,6,4,3,2,4
475,10,8,28,39,11,7,8,10,34,797,26
476,4,6,757,502,613,1687,109,27,156,624,182
