id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
438,21.6,21.6,21.6,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.5802,21.5802
442,4.6,4.6,4.6,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.62509,4.62509
443,2.8,2.8,2.8,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.7515899999999998,2.7515899999999998
444,3.8,3.8,3.8,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78762,3.78762
445,6.7,6.7,6.7,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.70565,6.70565
446,7.0,7.0,7.0,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97401,6.97401
447,12.2,12.2,12.2,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.1666,12.1666
448,8.3,8.3,8.3,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33067,8.33067
449,11.1,11.1,11.1,11.08,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.1911,10.1911
450,77.3,77.3,77.3,77.32,77.32,77.32,77.32,77.32,77.32,77.32,77.32,77.3273,77.3273
451,30.3,30.3,30.3,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.408,30.408
452,11.9,11.9,11.9,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.8573,11.8573
453,7.2,7.2,7.2,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.28456,7.28456
454,22.5,22.5,22.5,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.5134,22.5134
455,15.7,15.7,15.7,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.7202,15.7202
456,2.7,2.7,2.7,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72
457,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.79656,2.79656
458,2.8,2.8,2.8,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.56348,2.56348
459,10.0,10.0,10.0,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.019,10.019
460,10.8,10.8,10.8,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.7576,10.7576
462,34.5,34.5,34.5,34.54,34.54,34.54,34.54,34.54,34.54,34.54,34.54,34.5236,34.5236
463,5.3,5.3,5.3,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.30586,5.30586
464,8.5,8.5,8.5,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51174,8.51174
465,3.1,3.1,3.1,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.0677800000000004,3.0677800000000004
466,28.7,28.7,28.7,28.67,28.67,28.67,28.67,28.67,28.67,28.67,28.67,28.672399999999996,28.672399999999996
467,5.2,5.2,5.2,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23264,5.23264
468,9.1,9.1,9.1,9.05,9.27,9.27,9.27,9.27,9.27,9.27,9.27,9.261040000000001,9.261040000000001
469,27.8,27.8,27.8,27.83,27.71,27.71,27.71,27.71,27.71,27.71,27.71,28.245,28.245
470,5.0,5.0,5.0,4.99,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.6629700000000005,4.6629700000000005
471,5.6,5.6,5.6,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62449,5.62449
472,4.1,4.1,4.1,4.07,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.73419,3.73419
473,4.9,4.9,4.9,4.86,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.94455,4.94455
474,5.0,5.0,5.0,5.02,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81474,4.81474
475,9.5,9.5,9.5,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46283,9.46283
476,13.7,13.7,13.7,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72
