"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
64,23,17,4,8,0,2,4,1,0,0
65,0,0,0,0,0,0,0,0,0,0
66,1,6,5,1,0,1,0,0,0,0
67,0,,0,0,,0,0,0,0,0
68,10,14,10,2,1,1,0,0,1,0
69,3,1,1,0,0,0,1,1,0,0
70,9,3,5,4,0,2,0,1,0,0
71,3,2,1,0,0,0,0,0,0,0
72,4,7,8,2,0,1,1,0,0,1
73,14,18,27,10,0,2,1,4,0,0
74,3,2,1,1,0,0,1,0,0,0
75,13,14,4,7,0,0,0,0,0,0
76,12,5,8,6,0,0,1,0,0,0
77,25,19,24,5,2,2,0,0,0,0
78,14,8,4,0,0,0,1,0,0,0
79,,,,,,,,,0,
80,7,3,9,9,0,0,0,0,0,0
81,5,11,8,3,1,1,1,0,0,0
82,31,18,13,5,3,3,0,0,0,0
83,1,2,2,1,2,2,0,1,0,0
84,3,1,2,2,0,0,0,0,0,0
85,6,8,5,3,0,0,0,0,0,0
86,5,0,1,1,0,0,0,0,0,0
87,2,2,1,0,0,0,1,0,0,0
88,3,4,9,5,0,1,0,0,0,2
89,8,10,8,2,2,2,0,0,0,1
90,3,5,1,2,0,0,0,0,0,0
91,16,14,13,7,0,0,0,0,0,0
92,2,11,6,5,1,1,0,0,0,0
93,,,,,,0,0,0,0,0
94,2,4,3,4,1,1,1,0,0,0
95,3,6,2,1,0,0,0,1,1,1
96,18,13,26,10,2,2,1,1,0,0
97,14,7,11,10,2,2,2,0,0,0
98,42,29,24,14,7,7,2,0,0,0
99,6,6,8,2,1,1,1,0,0,0
100,8,5,11,3,0,1,3,1,0,0
101,2,0,2,0,0,0,0,0,0,0
102,7,5,9,0,0,0,0,0,0,0
103,0,4,9,7,0,0,0,0,0,0
105,0,2,3,0,1,1,0,0,0,0
106,0,0,2,0,1,1,0,0,0,0
107,1,4,9,4,0,0,0,0,0,0
108,7,14,10,1,0,0,2,0,0,0
109,8,5,8,4,0,3,0,0,0,0
110,4,5,4,2,0,0,0,0,0,0
111,10,7,16,6,1,1,2,0,0,0
112,6,13,9,1,0,1,0,0,0,0
113,39,30,42,14,0,7,1,2,0,0
114,2,2,1,1,0,0,0,0,0,0
115,8,14,6,3,1,1,0,0,1,0
116,15,14,12,4,0,0,0,0,0,0
117,30,35,38,15,0,5,3,1,2,0
118,0,0,4,1,0,0,0,0,0,0
119,7,1,6,2,0,0,1,2,2,0
120,6,5,4,1,0,0,1,0,0,0
121,22,5,21,8,1,1,0,0,0,0
122,,,,,,,,,0,
123,8,8,8,6,0,5,3,0,0,0
124,9,10,9,6,0,1,1,2,0,0
125,19,21,21,10,0,5,2,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,6,5,3,2,0,0,0,1,1,1
128,16,8,8,1,0,4,0,0,0,0
129,1,3,1,1,0,0,1,0,0,0
130,8,7,4,2,2,2,0,0,0,0
131,7,15,13,7,0,0,1,0,0,0
132,0,2,0,1,0,0,1,0,0,0
133,1,3,0,0,0,0,0,0,0,0
134,5,5,3,2,0,0,0,0,0,0
135,4,4,0,3,0,0,0,1,0,0
136,5,17,11,8,0,2,0,0,0,1
137,8,17,19,5,0,1,2,2,0,0
