id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
85,2.7557,2.7557,2.7557,2.7557,2.7557,2.76,2.76,2.76
86,0.9907,0.9907,0.9907,0.9907,0.9907,0.99,0.99,0.99
87,1.9584,1.9584,1.9584,1.9584,1.9584,1.96,1.96,1.96
88,4.296,4.296,4.296,4.2959,4.2959,4.3,4.3,4.3
89,2.3768,2.3768,2.3768,2.3768,2.3768,2.38,2.38,2.38
90,2.4984,2.4984,2.4984,2.4984,2.4984,2.5,2.5,2.5
91,2.8257,2.8257,2.8257,2.8256,2.8256,2.83,2.83,2.83
92,2.7002,2.7002,2.7002,2.7212,2.7212,2.72,2.72,2.72
93,5.8573,5.8573,5.8573,5.8572,5.8572,5.86,5.86,5.86
94,6.5611,6.5611,6.5611,6.561,6.561,6.56,6.56,6.56
95,4.4358,4.4358,4.4358,4.4194,4.4194,4.42,4.42,4.42
96,7.2337,7.2337,7.2337,7.1892,7.1892,7.19,7.19,7.19
97,5.443,5.443,5.443,5.4878,5.4878,5.49,5.49,5.49
98,16.0224,16.0224,16.0224,16.0221,16.0221,16.02,16.02,16.02
99,3.9687,3.9687,3.9687,3.9686,3.9686,3.97,3.97,3.97
100,7.1856,7.1856,7.1856,7.1855,7.1855,7.19,7.19,7.19
101,1.2646,1.2646,1.2646,1.2646,1.2646,1.26,1.26,1.26
102,1.9703,1.9703,1.9703,1.9703,1.9703,1.97,1.97,1.97
103,1.3576,1.3576,1.3576,1.3439,1.3439,1.34,1.34,1.34
105,2.2156,2.2156,2.2156,2.2156,2.2156,2.22,2.22,2.22
106,1.5185,1.5185,1.5185,1.5185,1.5185,1.52,1.52,1.52
107,1.6011,1.6011,1.6011,1.6011,1.6011,1.6,1.6,1.6
108,5.7201,5.7201,5.7201,5.72,5.72,5.72,5.72,5.72
109,12.4091,12.4091,12.4091,12.4622,12.4622,12.46,12.46,12.46
110,13.9302,13.9302,13.9302,13.9298,13.9298,13.93,13.93,13.93
111,7.6419,7.6419,7.6419,7.5203,7.5203,7.52,7.52,7.52
112,16.2863,16.2863,16.2863,16.3615,16.3615,16.36,16.36,16.36
113,13.3467,13.3467,13.3467,13.3812,13.3812,13.38,13.38,13.38
114,6.5477,6.5477,6.5477,6.577,6.577,6.58,6.58,6.58
115,7.1804,7.1804,7.1804,7.1801,7.1801,7.18,7.18,7.18
116,36.5897,36.5897,36.5897,36.5907,36.5907,36.59,36.59,36.59
117,9.9049,9.9049,9.9049,9.9035,9.9035,9.9,9.9,9.9
118,3.1978,3.1978,3.1978,3.1977,3.1977,3.2,3.2,3.2
119,10.1826,10.1826,10.1826,10.1824,10.1824,10.18,10.18,10.18
120,3.8277,3.8277,3.8277,3.8276,3.8276,3.83,3.83,3.83
121,4.6248,4.6248,4.6248,4.6332,4.6332,4.63,4.63,4.63
122,38.0428,38.0428,38.0428,38.1455,38.1455,38.15,38.15,38.15
123,12.1258,12.1258,12.1258,12.1256,12.1256,12.13,12.13,12.13
124,7.0762,7.0762,7.0762,7.0761,7.0761,7.08,7.08,7.08
125,10.1973,10.1973,10.1973,10.1911,10.1911,10.19,10.19,10.19
126,1.4054,1.4054,1.4054,1.4054,1.4054,1.41,1.41,1.41
127,4.4869,4.4869,4.4869,4.4868,4.4868,4.49,4.49,4.49
128,2.6878,2.6878,2.6878,2.6877,2.6877,2.69,2.69,2.69
129,4.8519,4.8519,4.8519,4.8518,4.8518,4.85,4.85,4.85
130,36.1749,36.1749,36.1749,36.1811,36.1811,36.18,36.18,36.18
131,2.7031,2.7031,2.7031,2.703,2.703,2.7,2.7,2.7
132,1.8867,1.8867,1.8867,1.8866,1.8866,1.89,1.89,1.89
133,1.5858,1.5858,1.5858,1.5858,1.5858,1.59,1.59,1.59
134,1.1558,1.1558,1.1558,1.1558,1.1558,1.16,1.16,1.16
135,1.4124,1.4124,1.4124,1.4124,1.4124,1.41,1.41,1.41
