id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
335,13.0,13.0,12.0,12.0,6.0,9.0,10.0,6.0,11.0,12.0,20.0,24.0,19.0
336,1.0,3.0,4.0,5.0,6.0,6.0,20.0,6.0,15.0,10.0,15.0,22.0,33.0
337,7.0,5.0,3.0,12.0,6.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,5.0
338,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
339,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,6.0,3.0,1.0,0.0
343,15.0,10.0,18.0,20.0,38.0,27.0,23.0,29.0,22.0,38.0,31.0,28.0,26.0
344,3.0,6.0,12.0,8.0,10.0,9.0,6.0,9.0,3.0,12.0,13.0,14.0,7.0
345,3.0,0.0,3.0,2.0,4.0,2.0,2.0,5.0,5.0,8.0,6.0,10.0,5.0
346,5.0,5.0,0.0,7.0,5.0,7.0,9.0,4.0,9.0,7.0,4.0,12.0,11.0
347,2.0,3.0,0.0,4.0,6.0,11.0,18.0,8.0,6.0,6.0,6.0,7.0,5.0
348,8.0,7.0,5.0,6.0,15.0,16.0,16.0,36.0,20.0,17.0,18.0,36.0,28.0
349,10.0,18.0,24.0,19.0,13.0,12.0,24.0,12.0,23.0,24.0,18.0,18.0,11.0
350,18.0,16.0,10.0,25.0,22.0,16.0,19.0,27.0,13.0,27.0,11.0,26.0,17.0
351,9.0,11.0,14.0,9.0,16.0,10.0,19.0,6.0,13.0,15.0,25.0,12.0,12.0
352,7.0,10.0,6.0,15.0,9.0,3.0,11.0,6.0,5.0,6.0,5.0,7.0,6.0
353,24.0,27.0,19.0,23.0,31.0,41.0,49.0,39.0,43.0,32.0,49.0,49.0,52.0
354,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,5.0,3.0,1.0
355,1.0,4.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0
356,29.0,49.0,22.0,25.0,43.0,34.0,30.0,31.0,42.0,49.0,44.0,48.0,42.0
357,40.0,17.0,16.0,12.0,21.0,23.0,26.0,19.0,17.0,35.0,37.0,21.0,23.0
358,33.0,33.0,33.0,40.0,55.0,43.0,40.0,40.0,34.0,1052.0,45.0,42.0,36.0
359,23.0,18.0,18.0,24.0,44.0,46.0,52.0,33.0,30.0,39.0,39.0,47.0,42.0
360,3.0,11.0,15.0,6.0,1.0,10.0,29.0,9.0,8.0,25.0,27.0,42.0,38.0
361,3.0,4.0,9.0,12.0,12.0,6.0,17.0,23.0,29.0,23.0,28.0,11.0,14.0
362,8.0,6.0,2.0,15.0,15.0,11.0,12.0,11.0,12.0,27.0,16.0,28.0,22.0
363,15.0,14.0,5.0,25.0,13.0,15.0,9.0,21.0,28.0,8.0,23.0,16.0,15.0
364,40.0,42.0,44.0,51.0,61.0,51.0,77.0,59.0,58.0,64.0,55.0,59.0,61.0
365,5.0,8.0,3.0,7.0,5.0,87.0,12.0,10.0,10.0,11.0,17.0,15.0,12.0
366,3.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,6.0,6.0,9.0,8.0,14.0
367,29.0,27.0,34.0,31.0,52.0,41.0,50.0,50.0,49.0,64.0,63.0,49.0,51.0
368,17.0,17.0,7.0,9.0,10.0,5.0,11.0,17.0,10.0,20.0,26.0,23.0,16.0
369,5.0,4.0,0.0,7.0,8.0,3.0,6.0,5.0,7.0,7.0,11.0,13.0,10.0
370,3.0,2.0,10.0,12.0,7.0,9.0,10.0,4.0,3.0,6.0,8.0,8.0,8.0
