"id","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021"
400,0.24,0.36,0.28,0.31,0.48,0.41,0.34,0.45,0.46
401,0.37,0.27,0.11,0.21,0.27,0.28,0.19,0.25,0.22
402,0.12,0.21,0.22,0.2,0.11,0.28,0.18,0.15,0.18
403,0.24,0.2,0.17,0.31,0.25,0.19,0.21,0.25,0.29
404,0.27,0.23,0.19,0.23,0.14,0.14,0.16,0.14,0.3
405,0.42,0.33,0.36,0.39,0.56,0.41,0.4,0.56,0.51
406,0.13,0.12,0.19,0.12,0.15,0.13,0.17,0.15,0.15
407,0.16,0.26,0.2,0.22,0.15,0.2,0.18,0.18,0.19
408,0.29,0.3,0.22,0.21,0.22,0.25,0.18,0.25,0.31
409,0.13,0.25,0.21,0.25,0.18,0.29,0.25,0.25,0.21
410,,0.06,0.1,0.05,,,,0.05,0.07
411,0.09,0.12,0.24,0.14,0.28,0.15,0.17,0.27,0.27
412,0.07,0.07,0.08,0.06,,,,,
413,0.38,0.49,0.55,0.5,0.56,0.64,0.58,0.46,0.56
416,0.1,0.07,0.09,0.11,,,,0.1,0.09
